Entity,Identifier
processed cheese spread with added ingredients,obo:FOODON_03315644
cold-pack cheese with added ingredients,obo:FOODON_03315645
cold-pack cheese food with added ingredients,obo:FOODON_03315646
gelatin (solid),obo:FOODON_03315647
fish (preserved),obo:FOODON_03315648
meat (preserved),obo:FOODON_03315649
meat by-product (preserved),obo:FOODON_03315650
poultry meat (preserved),obo:FOODON_03315651
poultry meat by-product (preserved),obo:FOODON_03315652
natural extractive,obo:FOODON_03315655
poultry (canned),obo:FOODON_03315657
brawn,obo:FOODON_03315658
fruit jelly with pectin,obo:FOODON_03315659
meat binder,obo:FOODON_03315660
meat by-product (loaf),obo:FOODON_03315661
meatloaf,obo:FOODON_03315662
meat by-product (potted),obo:FOODON_03315664
meat (prepared),obo:FOODON_03315665
fish (prepared),obo:FOODON_03315666
formulated liquid diets,obo:FOODON_03315667
fig marmalade with pectin,obo:FOODON_03315670
fruit jam with pectin,obo:FOODON_03315672
pineapple marmalade with pectin,obo:FOODON_03315675
lobster paste,obo:FOODON_03315676
"fish marinated or similar (cold-processed, packaged)",obo:FOODON_03315677
"meat (marinated or similar, cold-processed, packaged)",obo:FOODON_03315678
cream cheese with added ingredients,obo:FOODON_03315679
fish and meat blend (prepared),obo:FOODON_03315680
oil soluble annatto,obo:FOODON_03315681
"dry mix, unstandardized",obo:FOODON_03315682
lobster meat (canned),obo:FOODON_03315683
bakery product (unstandardized),obo:FOODON_03315684
fruit wine sweetened with honey,obo:FOODON_03315687
distiller's mash,obo:FOODON_03315689
"breakfast cereal (dry, malt-flavored)",obo:FOODON_03315690
fruit juice (single strength),obo:FOODON_03315691
cereal (precooked),obo:FOODON_03315692
brewers mash,obo:FOODON_03315693
dressing (unstandardized),obo:FOODON_03315694
pie filling mix,obo:FOODON_03315696
white asparagus (canned),obo:FOODON_03315697
"fish (minced, frozen)",obo:FOODON_03315700
"fish (frozen, comminuted)",obo:FOODON_03315701
sweetener (table-top),obo:FOODON_03315702
beverage concentrate,obo:FOODON_03315703
topping mixes,obo:FOODON_03315704
filling mix,obo:FOODON_03315705
breath-freshener product,obo:FOODON_03315706
peanut spread,obo:FOODON_03315707
confectionery glaze for grain-based snack foods,obo:FOODON_03315709
confectionery glaze for nut-based snack foods,obo:FOODON_03315710
confectionery glaze for corn-based snack foods,obo:FOODON_03315711
sweetened seasoning for snack food,obo:FOODON_03315712
sweetened coating mix for snack food,obo:FOODON_03315713
citrus fruit marmalade with pectin,obo:FOODON_03315714
whey product (dried),obo:FOODON_03315715
animal protein (hydrolyzed),obo:FOODON_03315718
mammalian milk protein (hydrolyzed),obo:FOODON_03315719
"vegetable protein, hydrolyzed",obo:FOODON_03315720
meat pieces,obo:FOODON_03315721
sugar wafer,obo:FOODON_03315723
pan coating (vegetable oil-based),obo:FOODON_03315724
"pan coating, lecithin-based, edible",obo:FOODON_03315725
potato product (dehydrated),obo:FOODON_03315727
citrus oil,obo:FOODON_03315730
pork fatty tissue (partially defatted),obo:FOODON_03315731
beef fatty tissue (partially defatted),obo:FOODON_03315732
vitamin a liquid for addition to food,obo:FOODON_03315733
"confection mix, dry",obo:FOODON_03315734
"vitamin d preparations for addition to food, dry",obo:FOODON_03315735
"poultry meat (dried, cooked)",obo:FOODON_03315736
egg simulated product,obo:FOODON_03315738
"wheat flour (white, enriched)",obo:FOODON_03315740
"fish (frozen, glazed)",obo:FOODON_03315741
"dessert mix, unstandardized",obo:FOODON_03315742
hen egg white (delysozymized),obo:FOODON_03315743
dairy product (unstandardized),obo:FOODON_03315744
dry cure,obo:FOODON_03315745
fruit (glazed),obo:FOODON_03315746
cheddar cheese (grated),obo:FOODON_03315747
"cheese preparation (grated, unstandardized)",obo:FOODON_03315748
salad dressing (unstandardized),obo:FOODON_03315749
brown bread,obo:FOODON_03315751
jenever gin,obo:FOODON_03315752
fruit juice (carbonated),obo:FOODON_03315753
water represented as mineral or spring water (),obo:FOODON_03315754
hop extract,obo:FOODON_03315756
hop extract (preisomerized),obo:FOODON_03315757
"cow milk (evaporated, partly skimmed)",obo:FOODON_03315758
"cow milk (concentrated, partly skimmed)",obo:FOODON_03315759
infant formula based on isolated amino acids and/or protein hydrolysates,obo:FOODON_03315760
coffee concentrate (liquid),obo:FOODON_03315765
"cereal product (solid, infant)",obo:FOODON_03315768
beef blood (raw),obo:FOODON_03315769
onion (canned),obo:FOODON_03315770
spring mackerel (canned),obo:FOODON_03315771
fig marmalade,obo:FOODON_03315773
"meat product, simulated",obo:FOODON_03315776
"poultry meat product, simulated",obo:FOODON_03315777
meat product extender,obo:FOODON_03315778
poultry meat product extender,obo:FOODON_03315779
coconut (shredded),obo:FOODON_03315780
sauce (unstandardized),obo:FOODON_03315781
"lima bean (ripe, canned)",obo:FOODON_03315782
pinto bean (canned),obo:FOODON_03315783
chickpea (canned),obo:FOODON_03315784
Cavendish banana (dehydrated),obo:FOODON_03315786
ice (prepackaged),obo:FOODON_03315790
beverage concentrate (fruit-flavored),obo:FOODON_03315791
beverage mix (fruit-flavored),obo:FOODON_03315792
"goat milk (evaporated, partly skimmed)",obo:FOODON_03315793
"goat milk (evaporated, skimmed)",obo:FOODON_03315794
ham (prepared),obo:FOODON_03315795
shoulder (prepared),obo:FOODON_03315796
boston butt,obo:FOODON_03315797
pork butt (prepared),obo:FOODON_03315797
ham picnic (prepared),obo:FOODON_03315798
corn for degermination,obo:FOODON_03315799
meat sausage (dried),obo:FOODON_03315801
meat curing compound,obo:FOODON_03315803
confection (soft-centered),obo:FOODON_03315808
confection (liquid-centered),obo:FOODON_03315809
beverage mix for addition to milk (flavored),obo:FOODON_03315810
"beverage base for addition to milk, flavored",obo:FOODON_03315811
"breakfast, ready",obo:FOODON_03315812
instant breakfast,obo:FOODON_03315813
breakfast replacement food,obo:FOODON_03315814
"wheat flour (white, vitamin b enriched)",obo:FOODON_03315815
fish protein,obo:FOODON_03315816
"mammalian milk (malted, flavored)",obo:FOODON_03315818
"sweetener, table-top, containing aspartame, tablet form",obo:FOODON_03315819
cheddar cheese (for processing),obo:FOODON_03315822
food sold in tablet form,obo:FOODON_03315823
carbohydrate reduced food,obo:FOODON_03315824
"dessert (frozen, unstandardized)",obo:FOODON_03315826
sandwich spread (unstandardized),obo:FOODON_03315827
dip (unstandardized),obo:FOODON_03315828
seeded raisin (dried),obo:FOODON_03315829
"collagen film (water soluble, edible)",obo:FOODON_03315832
vegetable stock,obo:FOODON_03315835
fruit peel,obo:FOODON_03315837
food (sugar-free),obo:FOODON_03315838
low calorie food,obo:FOODON_03315839
l-lysine tablet,obo:FOODON_03315840
"chocolate flavored confectionery coating, unstandardized",obo:FOODON_03315841
"cream mix, dry, imitation",obo:FOODON_03315842
vegetable oil creaming agent,obo:FOODON_03315843
vegetable oil topping mix,obo:FOODON_03315844
"confectionery coating, unstandardized",obo:FOODON_03315845
"confectionery (moulded, unstandardized)",obo:FOODON_03315846
"cooking sauce (prepared, canned, unstandardized)",obo:FOODON_03315851
fat base formulation for self basting of poultry,obo:FOODON_03315852
"coating mix, dry batter",obo:FOODON_03315854
cocktail,obo:FOODON_03315855
cocktail beverage (alcoholic),obo:FOODON_03315855
molasses (fancy),obo:FOODON_03315857
molasses (refiner's),obo:FOODON_03315858
molasses (table),obo:FOODON_03315859
sausage (semi-dried),obo:FOODON_03315862
bacon side,obo:FOODON_03315865
cheese powder (industrial spray-dried),obo:FOODON_03315866
"cheese (varietal, hard)",obo:FOODON_03315867
cheese varietal semi-hard,obo:FOODON_03315868
cheese varietal (pressed),obo:FOODON_03315869
"cheese (varietal, soft)",obo:FOODON_03315870
"dessert preparation (milk-based, unstandardized)",obo:FOODON_03315871
cayenne pepper pieces (dried),obo:FOODON_03315872
chile,obo:FOODON_03315873
chīlli,obo:FOODON_03315873
green chili,obo:FOODON_03315873
green chilli pepper,obo:FOODON_03315873
red chili pepper,obo:FOODON_03315873
red bell pepper,obo:FOODON_03315874
red bell pepper (raw),obo:FOODON_03315874
celery pepper,obo:FOODON_03315875
"hen egg mix (albumen and yolk, dried)",obo:FOODON_03315879
hen egg yolk mix (dried),obo:FOODON_03315880
dendritic salt,obo:FOODON_03315881
poultry meat,obo:FOODON_03315883
batter mix,obo:FOODON_03315887
cream based liquor (unstandardized),obo:FOODON_03315888
oil topping,obo:FOODON_03315889
oil topping mix,obo:FOODON_03315890
"tuna (flaked, canned)",obo:FOODON_03315892
beverage (citrus-flavored),obo:FOODON_03315895
beverage (spruce flavored),obo:FOODON_03315896
goat milk (powdered),obo:FOODON_03315899
goat milk (skimmed),obo:FOODON_03315900
goat milk (partly skimmed),obo:FOODON_03315901
"goat milk (powdered, partly skimmed)",obo:FOODON_03315903
sausage,obo:FOODON_03315904
meat sausage,obo:FOODON_03315904
pineapple juice blended with other fruit juices,obo:FOODON_03315905
vegetable drink,obo:FOODON_03315906
vegetable drink base,obo:FOODON_03315907
vegetable drink mix,obo:FOODON_03315908
pineapple juice (reconstituted),obo:FOODON_03315909
cereal based food gluten free,obo:FOODON_03315911
filling for fine bakery wares,obo:FOODON_03315912
topping for fine bakery goods,obo:FOODON_03315913
dessert (jelly-like),obo:FOODON_03315914
dessert (fruit-flavored),obo:FOODON_03315915
drink powder,obo:FOODON_03315916
"food (dried, powdered)",obo:FOODON_03315917
fat emulsion,obo:FOODON_03315921
pate,obo:FOODON_03315925
meat pie,obo:FOODON_03315926
"beverage (nonalcoholic, flavored)",obo:FOODON_03315928
preserves of red fruits,obo:FOODON_03315930
coating and decoration,obo:FOODON_03315931
baked good (fine),obo:FOODON_03315932
vegetable in vinegar brine or oil,obo:FOODON_03315933
fruit in vinegar brine or oil,obo:FOODON_03315934
crustacean paste,obo:FOODON_03315935
salmon substitute,obo:FOODON_03315936
cheese rind (edible),obo:FOODON_03315939
edible collagen casing,obo:FOODON_03315940
"drink (flavored, water-based, energy reduced)",obo:FOODON_03315950
drink milk-based (energy reduced),obo:FOODON_03315951
drink milk-derivative-based (energy reduced),obo:FOODON_03315952
"beverage (fruit juice based, energy reduced)",obo:FOODON_03315953
"dessert (flavored, water-based, energy reduced)",obo:FOODON_03315954
milk-based preparation (desserts and similar products) energy reduced,obo:FOODON_03315955
milk-derivative-based preparation (desserts and similar products) energy reduced,obo:FOODON_03315956
fruit-based dessert energy reduced,obo:FOODON_03315957
vegetable-based dessert energy reduced,obo:FOODON_03315958
egg-based dessert energy reduced,obo:FOODON_03315959
cereal-based dessert energy reduced,obo:FOODON_03315960
fat-based dessert (energy reduced),obo:FOODON_03315961
snack (ready-to-eat),obo:FOODON_03315962
snack (prepacked),obo:FOODON_03315963
snack (dry),obo:FOODON_03315964
starch product (savory),obo:FOODON_03315965
nut (coated),obo:FOODON_03315966
confectionery (with no added sugar),obo:FOODON_03315967
"confectionery (cocoa-based, energy reduced)",obo:FOODON_03315968
"confectionery (dried-fruit-based, energy reduced)",obo:FOODON_03315969
"confectionery (starch-based, energy reduced)",obo:FOODON_03315970
"sandwich spread (cocoa-based, energy reduced)",obo:FOODON_03315971
"sandwich spread (milk-based, energy reduced)",obo:FOODON_03315972
"sandwich spread (dried-fruit-based, energy reduced)",obo:FOODON_03315973
"sandwich spread, fat-based, energy reduced",obo:FOODON_03315974
beer with a minimum acidity of 30 mill.-equivalents expressed as naoh,obo:FOODON_03315976
brown beer oud bruin type,obo:FOODON_03315977
"ice, edible, energy reduced",obo:FOODON_03315978
"fruit (canned, energy reduced)",obo:FOODON_03315979
jam (energy-reduced),obo:FOODON_03315981
jelly energy-reduced,obo:FOODON_03315982
marmalade (energy-reduced),obo:FOODON_03315983
fruit preparation (energy reduced),obo:FOODON_03315984
vegetable preparation (energy-reduced),obo:FOODON_03315985
sweet-sour fruit preserves,obo:FOODON_03315986
sweet-sour vegetable preserves,obo:FOODON_03315987
sweet-sour fish preserves,obo:FOODON_03315988
sweet-sour fish (semipreserved),obo:FOODON_03315989
fish marinade,obo:FOODON_03315990
crustacean (marinated),obo:FOODON_03315991
mollusc marinade,obo:FOODON_03315992
"bakery product, fine, for special nutritional uses",obo:FOODON_03315993
complete formulae and dietary supplements for use under medical supervision,obo:FOODON_03315995
"food supplement or dietary integrator, liquid",obo:FOODON_03315996
solid food supplement or dietary integrator,obo:FOODON_03315997
"baked good (fine, small product, coated with chocolate)",obo:FOODON_03316000
"beverage (flavored, wine-based)",obo:FOODON_03316004
beverage (water-based),obo:FOODON_03316005
beverage (fruit juice based),obo:FOODON_03316006
fruit concentrate liquid,obo:FOODON_03316007
herbal infusion concentrate (liquid),obo:FOODON_03316008
"grape juice (unfermented, for sacramental use)",obo:FOODON_03316009
spirits with not more than 15% alcohol,obo:FOODON_03316011
ravioli filling,obo:FOODON_03316012
dessert fruit based,obo:FOODON_03316015
potato dough,obo:FOODON_03316018
meat product (cured),obo:FOODON_03316020
meat product (dried),obo:FOODON_03316021
fish product (semi-preserved),obo:FOODON_03316022
fish roe product,obo:FOODON_03316023
"cheese (sliced, prepacked)",obo:FOODON_03316027
unripened cheese,obo:FOODON_03316028
"bread (pre-packed, sliced)",obo:FOODON_03316029
"bread (rye, prepacked, sliced)",obo:FOODON_03316030
"baked good, fine, with a water activity of more than .65",obo:FOODON_03316032
snack cereal based,obo:FOODON_03316033
snack (potato-based),obo:FOODON_03316034
confectionery (sugar-based),obo:FOODON_03316035
confectionery (cocoa-based),obo:FOODON_03316038
sugar topping,obo:FOODON_03316039
sauce (emulsified),obo:FOODON_03316040
sauce (non-emulsified),obo:FOODON_03316041
salad,obo:FOODON_03316042
food (heat treated),obo:FOODON_03316043
frying oil,obo:FOODON_03316044
frying fat,obo:FOODON_03316045
poultry fat,obo:FOODON_03316046
sheep fat,obo:FOODON_03316047
nut (processed),obo:FOODON_03316049
beverage vegetable based,obo:FOODON_03316050
cereal based food containing fat,obo:FOODON_03316055
food (unprocessed),obo:FOODON_03316056
mammalian milk (preserved),obo:FOODON_03316058
chicken egg,obo:FOODON_03316061
hen egg,obo:FOODON_03316061
jam extra,obo:FOODON_03316063
tea extract,obo:FOODON_03316065
tea infusion,obo:FOODON_03316066
bread malt,obo:FOODON_03316069
chorizo,obo:FOODON_03316070
sobrasada,obo:FOODON_03316071
pasturmas,obo:FOODON_03316072
pastirma,obo:FOODON_03316072
vegetable protein,obo:FOODON_03316074
soda bread,obo:FOODON_03316078
herbal infusion,obo:FOODON_03316079
malt dairy based drink,obo:FOODON_03316082
"cow milk (partly dehydrated, less than 28% solids)",obo:FOODON_03316085
"cow milk (partly dehydrated, more than 28% milk solids)",obo:FOODON_03316086
vegetable fat analog of whipped cream,obo:FOODON_03316089
sport drink,obo:FOODON_03316090
table water (prepared),obo:FOODON_03316091
"bread (partially baked, packed)",obo:FOODON_03316093
fermented product,obo:FOODON_03316095
liqueur (emulsified),obo:FOODON_03316097
sugar confectionery,obo:FOODON_03316098
beverage powder for preparation of hot beverage,obo:FOODON_03316099
beverage (dairy based),obo:FOODON_03316101
vegetable protein-based meat analog,obo:FOODON_03316106
cereal protein-based meat analog,obo:FOODON_03316107
vegetable protein-based fish analog,obo:FOODON_03316108
cereal protein-based fish analog,obo:FOODON_03316109
vegetable protein-based crustacean analog,obo:FOODON_03316110
cereal protein-based crustacean analog,obo:FOODON_03316111
follow-up formula,obo:FOODON_03316113
flavoured water,obo:FOODON_03316114
"beverage (water-based, flavored, nonalcoholic)",obo:FOODON_03316114
beverage flavored fruit juice based nonalcoholic,obo:FOODON_03316115
pulse (canned),obo:FOODON_03316117
legume (canned),obo:FOODON_03316119
meat product (preserved),obo:FOODON_03316125
meat product (semi-preserved),obo:FOODON_03316126
fish product (preserved),obo:FOODON_03316127
"jams, jellies, and marmalades, product similar to",obo:FOODON_03316129
cherry in syrup,obo:FOODON_03316132
cocktail cherry,obo:FOODON_03316133
cereal and potato-based snack food,obo:FOODON_03316134
nut coating (),obo:FOODON_03316142
coating for fine bakery wares,obo:FOODON_03316143
liquer (egg based),obo:FOODON_03316144
pudding (semolina),obo:FOODON_03316145
pudding tapioca,obo:FOODON_03316146
semihard cheese,obo:FOODON_03316148
"sausage (dried, cured)",obo:FOODON_03316150
milk analog,obo:FOODON_03316152
burger meat (minimum vegetable and/or cereal content of 4%),obo:FOODON_03316154
breakfast sausage (minimum cereal content of 6%),obo:FOODON_03316155
longaniza fresca,obo:FOODON_03316156
butilarra fresca,obo:FOODON_03316157
cephalopod (raw),obo:FOODON_03316160
cephalopod (frozen),obo:FOODON_03316161
cephalopod (cooked),obo:FOODON_03316162
"potato (dried, granulated)",obo:FOODON_03316163
"potato (peeled, cut, cooked)",obo:FOODON_03316164
potato (peeled),obo:FOODON_03316165
"vegetable (white, dried)",obo:FOODON_03316166
vegetable white (processed),obo:FOODON_03316167
"vegetable (white, frozen)",obo:FOODON_03316168
ginger (dried),obo:FOODON_03316170
tomato (dried),obo:FOODON_03316171
horseradish pulp,obo:FOODON_03316172
onion pulp,obo:FOODON_03316173
garlic pulp,obo:FOODON_03316174
shallot pulp,obo:FOODON_03316175
onions in vinegar,obo:FOODON_03316176
mushroom (processed),obo:FOODON_03316179
seasoning (citrus juice based),obo:FOODON_03316183
grape juice (concentrated for home wine making),obo:FOODON_03316184
jellying fruit extract,obo:FOODON_03316188
pectin (liquid),obo:FOODON_03316189
fruit juice-based concentrate with not less than 2.5% barley,obo:FOODON_03316197
concentrate based on comminuted fruit,obo:FOODON_03316198
fruit wine (sparkling),obo:FOODON_03316203
fermentation vinegar,obo:FOODON_03316204
"beverage (water-based, carbonated, with added sweeteners and flavorings)",obo:FOODON_03316211
cereal (dry),obo:FOODON_03316213
"meat product (cured, dried, non-heat treated)",obo:FOODON_03316215
confectionery chocolate based,obo:FOODON_03316218
breakfast cereal (energy reduced),obo:FOODON_03316220
cereal-based product (energy reduced),obo:FOODON_03316221
cocoa-based product (energy reduced),obo:FOODON_03316223
"bakery product, fine, energy reduced",obo:FOODON_03316224
product intended for particular nutritional uses,obo:FOODON_03316225
beverage powder for home preparation of drinks,obo:FOODON_03316229
"coffee (canned, liquid)",obo:FOODON_03316230
meat product (heat treated),obo:FOODON_03316231
"anisette (emulsified, non-alcoholic)",obo:FOODON_03316232
cereal containing fat,obo:FOODON_03316234
biscuit (containing fat),obo:FOODON_03316235
rusks containing fat,obo:FOODON_03316236
infant food containing fat,obo:FOODON_03316237
vegetable protein products,obo:FOODON_03316242
"spread, low fat",obo:FOODON_03316243
"spread, very low fat",obo:FOODON_03316244
"dressing, lowfat",obo:FOODON_03316245
"dressing, very low fat",obo:FOODON_03316246
"ice, edible, water-based",obo:FOODON_03316247
filling for desserts,obo:FOODON_03316248
topping for dessert,obo:FOODON_03316249
"dessert topping, whipped",obo:FOODON_03316251
sausage with a starch content of more that 6%,obo:FOODON_03316252
burger meat (starch content of more than 6%),obo:FOODON_03316253
Cavendish banana,obo:FOODON_03316257
dietetic food for youth and adults,obo:FOODON_03316258
soft drink (calorie reduced),obo:FOODON_03316262
soup (sweet),obo:FOODON_03316263
pudding substitute,obo:FOODON_03316264
jelly dessert,obo:FOODON_03316265
cream dessert,obo:FOODON_03316266
gelatin-type dessert substitute,obo:FOODON_03316268
milk-based product with fruit preparations (calorie reduced),obo:FOODON_03316269
milk-based product with non-fruit preparations (calorie reduced),obo:FOODON_03316270
sugar product,obo:FOODON_03316271
marzipan analog,obo:FOODON_03316273
nougat product,obo:FOODON_03316274
"wafer, table",obo:FOODON_03316275
delicatessen salad,obo:FOODON_03316276
fish salad,obo:FOODON_03316277
dressing for fish,obo:FOODON_03316278
fish product (pickled),obo:FOODON_03316279
fish product (fried),obo:FOODON_03316280
fish product (cooked),obo:FOODON_03316281
anchovy,obo:FOODON_03316282
fish product (in jelly),obo:FOODON_03316283
sauce (spicy),obo:FOODON_03316286
"vegetable (canned, sour)",obo:FOODON_03316287
food suitable for treating of infant dyspepsia,obo:FOODON_03316289
pastry (gluten-free),obo:FOODON_03316290
pastry (low in protein),obo:FOODON_03316291
coalfish product,obo:FOODON_03316292
sugar coating,obo:FOODON_03316296
product similar to marzipan made from oil-bearing kernels,obo:FOODON_03316297
"filling for fine bakery goods, fat-containing",obo:FOODON_03316298
sweet dish,obo:FOODON_03316299
invert sugar cream,obo:FOODON_03316302
liqueur (flavored with fruit aromas),obo:FOODON_03316303
liqueur (flavored with herbs and/or spices),obo:FOODON_03316304
brandy flavored with herbs and/or spices,obo:FOODON_03316305
"fat product, mixed",obo:FOODON_03316306
gelatin-based capsule,obo:FOODON_03316309
fruit product (coated with sugar),obo:FOODON_03316314
jellying sugar,obo:FOODON_03316315
jellying aid substance,obo:FOODON_03316316
jam substitute,obo:FOODON_03316317
"bakery product, fine, flat",obo:FOODON_03316318
sugar product similar to candy,obo:FOODON_03316319
fish product (marinated),obo:FOODON_03316320
shellfish product (marinated),obo:FOODON_03316321
fish product (boiled),obo:FOODON_03316322
herring product salted,obo:FOODON_03316323
fish in oil (salted),obo:FOODON_03316324
coalfish product in oil,obo:FOODON_03316325
crayfish preparation (unsterilized),obo:FOODON_03316326
crayfish soup powder (sterilized),obo:FOODON_03316327
shrimp product (unsterilized),obo:FOODON_03316328
seasoning (lemon juice based),obo:FOODON_03316330
meat salad,obo:FOODON_03316331
edible gelatinous coating for meat products,obo:FOODON_03316332
margarine (half-fat),obo:FOODON_03316333
butter (half-fat),obo:FOODON_03316334
fruit for further processing in the confectionery and beverages industries,obo:FOODON_03316335
fruit drink beverage base,obo:FOODON_03316337
fruit (cooked),obo:FOODON_03316338
pumpkin (cooked),obo:FOODON_03316339
rhubarb (cooked),obo:FOODON_03316340
hip-pulp (),obo:FOODON_03316343
citrus peel (grated),obo:FOODON_03316345
bulb onion,obo:FOODON_03316347
common onion,obo:FOODON_03316347
paprika puree,obo:FOODON_03316348
olive (preserved),obo:FOODON_03316349
macaroon surrogate paste,obo:FOODON_03316350
"dough (semi-moist, ready-to-use)",obo:FOODON_03316356
fruit jelly (calorie reduced),obo:FOODON_03316358
"jam, jelly or marmalade substitute",obo:FOODON_03316359
citrus peel (dried),obo:FOODON_03316360
coating cream for bakery product,obo:FOODON_03316361
coating cream for zwieback,obo:FOODON_03316362
animal broth (dried),obo:FOODON_03316363
relish (dried),obo:FOODON_03316365
"potato product (dehydrated, made from cooked potatoes)",obo:FOODON_03316366
"potato product (dry, ready-to-eat)",obo:FOODON_03316367
potato product (deep-frozen),obo:FOODON_03316368
potato product (pre-fried),obo:FOODON_03316369
snack (grain-based),obo:FOODON_03316370
zwieback dutch type,obo:FOODON_03316372
quince (dried),obo:FOODON_03316373
carambola (dried),obo:FOODON_03316374
star fruit (dried),obo:FOODON_03316374
guava (dried),obo:FOODON_03316375
kumquat dried,obo:FOODON_03316376
mango (dried),obo:FOODON_03316377
melon (dried),obo:FOODON_03316378
papaya (dried),obo:FOODON_03316379
tangerine (dried),obo:FOODON_03316380
lemon (dried),obo:FOODON_03316381
"fruit (semi-dried, glazed)",obo:FOODON_03316382
candied plant parts,obo:FOODON_03316383
lemon peel (candied),obo:FOODON_03316384
orange peel (candied),obo:FOODON_03316385
ginger in syrup,obo:FOODON_03316386
citrus peel (grated for commercial bakery use),obo:FOODON_03316387
"apple (raw, peeled, pieces, for commercial bakery use)",obo:FOODON_03316388
fruit-based jellying agent (liquid),obo:FOODON_03316389
asparagus (dried),obo:FOODON_03316391
cauliflower (dried),obo:FOODON_03316393
"beetroot (white, dried)",obo:FOODON_03316394
parsnip (dried),obo:FOODON_03316395
onion (chopped),obo:FOODON_03316397
onion (grated),obo:FOODON_03316398
garlic (chopped),obo:FOODON_03316399
garlic (grated),obo:FOODON_03316400
vegetable in vinegar,obo:FOODON_03316401
potato dumpling dough (raw ),obo:FOODON_03316403
starch (dried),obo:FOODON_03316404
barley (pearled),obo:FOODON_03316406
gelatin (air-dried),obo:FOODON_03316408
sugar (not fully refined),obo:FOODON_03316409
dextrose containing crystallization water,obo:FOODON_03316410
glucose syrup (exclusively for commercial production of sweets and candies),obo:FOODON_03316413
"glucose syrup (dried, exclusively for commercial production of sweets and candies)",obo:FOODON_03316414
taffy hard,obo:FOODON_03316415
candy chew,obo:FOODON_03316416
chewable candy,obo:FOODON_03316416
soft taffy,obo:FOODON_03316416
jam (plum),obo:FOODON_03316417
citrus juice concentrates for further commercial processing,obo:FOODON_03316421
crayfish (cooked),obo:FOODON_03316422
egg substitute based on milk protein,obo:FOODON_03316423
cod dried,obo:FOODON_03316424
hen egg (preserved),obo:FOODON_03316425
plant fiber (compressed),obo:FOODON_03316427
sweets,obo:FOODON_03316428
fruit product similar to jam (calorie-reduced),obo:FOODON_03316429
fruit syrup calorie-reduced,obo:FOODON_03316430
"fruit preparation (used with milk products, calorie-reduced)",obo:FOODON_03316431
bread (cut),obo:FOODON_03316433
"sweetener tablets, artificial",obo:FOODON_03316434
wheat milling product,obo:FOODON_03316437
pudding powder substitute,obo:FOODON_03316440
fish (semi-preserved),obo:FOODON_03316441
wafer,obo:FOODON_03316443
candy type product (compressed),obo:FOODON_03316444
sugar cube,obo:FOODON_03316445
onion granules,obo:FOODON_03316446
garlic granules,obo:FOODON_03316447
sugar (decorative type),obo:FOODON_03316448
dough raising agent,obo:FOODON_03316449
bakery product (small),obo:FOODON_03316450
dessert (aerated),obo:FOODON_03316451
seasoning substance,obo:FOODON_03316453
beverage containing caffeine,obo:FOODON_03316454
tea extract (cold-water soluble),obo:FOODON_03316455
food based on cereals,obo:FOODON_03316458
"meat (cured, low sodium)",obo:FOODON_03316459
"meat product (cured, low sodium)",obo:FOODON_03316460
red beet powder,obo:FOODON_03316461
fruit powder,obo:FOODON_03316462
soup powder mix,obo:FOODON_03316463
gravy powder,obo:FOODON_03316464
bakery good (lye treated),obo:FOODON_03316465
walnut (whole or pieces),obo:FOODON_03316466
meal,obo:FOODON_03316468
meal (ready-to-consume),obo:FOODON_03316468
sugar coating for candy,obo:FOODON_03316469
fruit gum,obo:FOODON_03316471
jelly candy,obo:FOODON_03316471
candy gum-type,obo:FOODON_03316472
grain seed (glazed),obo:FOODON_03316474
fruit marinade,obo:FOODON_03316476
vegetable marinade,obo:FOODON_03316477
mushroom produce in sour pickle,obo:FOODON_03316480
"fruit juice (raw, semi-finished)",obo:FOODON_03316481
"ice cream (commercial, packed)",obo:FOODON_03316482
jelly powder,obo:FOODON_03316483
fruit dessert powder,obo:FOODON_03316484
cake concentrates,obo:FOODON_03316486
dinner concentrate (powdered),obo:FOODON_03316487
beverage (powdered),obo:FOODON_03316488
"seasoning, powdered",obo:FOODON_03316490
"seasoning product (concentrate, loose)",obo:FOODON_03316492
confectionery (long-life),obo:FOODON_03316494
"ices (commercial, packed)",obo:FOODON_03316496
hen egg white hydrolysate,obo:FOODON_03316499
fat (water removed),obo:FOODON_03316500
fruit jelly (low sugar),obo:FOODON_03316501
fish product (frozen),obo:FOODON_03316502
beverage concentrate (powdered),obo:FOODON_03316505
cocoa pulp,obo:FOODON_03316506
twiglet (salty biscuit),obo:FOODON_03316507
shortbread cake small,obo:FOODON_03316508
vegetable sauce,obo:FOODON_03316513
sour cream for butter making,obo:FOODON_03316516
confectionery dragees,obo:FOODON_03316517
baking fat,obo:FOODON_03316518
culinary fat,obo:FOODON_03316519
paste based on herb extract (edible),obo:FOODON_03316520
fruit half,obo:FOODON_03316521
tomato multi-component product,obo:FOODON_03316522
vegetable and fruit sauce,obo:FOODON_03316524
malt extract used for baking,obo:FOODON_03316525
beverage with added fruit juice,obo:FOODON_03316527
fruit pulp semi-finished,obo:FOODON_03316529
fruit puree semi-finished,obo:FOODON_03316530
fruit produce,obo:FOODON_03316531
"tomato (whole or pieces, raw)",obo:FOODON_03316532
kvas,obo:FOODON_03316533
water for beermaking,obo:FOODON_03316535
brewing malt,obo:FOODON_03316536
"cheese (maturing, rennet)",obo:FOODON_03316537
