Entity,Identifier
fermented elaeis palm beverage,obo:FOODON_00001096
fermented sugar cane beverage,obo:FOODON_00001097
fermented apple,obo:FOODON_00001098
fermented apple beverage,obo:FOODON_00001098
apple beverage,obo:FOODON_00001099
orange fruit beverage,obo:FOODON_00001100
grape beverage,obo:FOODON_00001101
fermented grain beverage,obo:FOODON_00001102
fermented agave beverage,obo:FOODON_00001103
sea water fish egg,obo:FOODON_00001104
avian egg,obo:FOODON_00001105
camelid dairy,obo:FOODON_00001106
bovine dairy,obo:FOODON_00001107
buffalo dairy,obo:FOODON_00001108
caprine dairy,obo:FOODON_00001109
donkey dairy,obo:FOODON_00001110
equine dairy,obo:FOODON_00001111
ovine dairy,obo:FOODON_00001112
yak dairy,obo:FOODON_00001113
zebra dairy,obo:FOODON_00001114
reindeer dairy,obo:FOODON_00001115
water buffalo dairy,obo:FOODON_00001116
horse dairy,obo:FOODON_00001117
cattle dairy,obo:FOODON_00001118
cervid dairy,obo:FOODON_00001119
camelid milk beverage,obo:FOODON_00001120
equine milk beverage,obo:FOODON_00001121
cervid milk beverage,obo:FOODON_00001122
cow milk beverage,obo:FOODON_00001123
caprine cheese,obo:FOODON_00001124
ovine cheese,obo:FOODON_00001125
bovine cheese,obo:FOODON_00001126
cow milk cheese,obo:FOODON_00001127
condiment,obo:FOODON_00001133
bovine meat,obo:FOODON_00001134
distilled fermented grain beverage,obo:FOODON_00001135
distilled fermented beverage,obo:FOODON_00001136
tea based beverage product,obo:FOODON_00001138
coffee and coffee products,obo:FOODON_00001139
coffee based beverage product,obo:FOODON_00001139
wheat,obo:FOODON_00001141
maize,obo:FOODON_00001142
maize (corn),obo:FOODON_00001142
microbial,obo:FOODON_00001145
tuber,obo:FOODON_00001146
solanaceous root,obo:FOODON_00001146
plant root,obo:FOODON_00001147
cucurbit fruit,obo:FOODON_00001150
melon fruit,obo:FOODON_00001152
muskmelon (Cucumis melo) fruit,obo:FOODON_00001153
citrullus lanatus fruit,obo:FOODON_00001154
citrus fruit juice,obo:FOODON_00001156
pomaceous fruit juice beverage,obo:FOODON_00001157
pomes,obo:FOODON_00001158
pomaceous fruit,obo:FOODON_00001158
fermented pomaceous fruit beverage,obo:FOODON_00001159
pomaceous fruit extract,obo:FOODON_00001160
citrus fruit extract,obo:FOODON_00001161
grape extract,obo:FOODON_00001162
solanaceous fruit,obo:FOODON_00001163
solanaceous,obo:FOODON_00001165
plant inflorescence,obo:FOODON_00001166
amaranthaceous,obo:FOODON_00001167
cruciferous,obo:FOODON_00001169
grape berry,obo:FOODON_00001170
cruciferous inflorescence,obo:FOODON_00001171
plant seed,obo:FOODON_00001173
plant lipid,obo:FOODON_00001174
plant stem,obo:FOODON_00001175
amaranthaceous inflorescence,obo:FOODON_00001179
prepared,obo:FOODON_00001180
cooked,obo:FOODON_00001181
food (cooked),obo:FOODON_00001181
pickled cruciferous,obo:FOODON_00001182
algal,obo:FOODON_00001184
buckewheat,obo:FOODON_00001186
common oat,obo:FOODON_00001189
fonio,obo:FOODON_00001193
dry pea,obo:FOODON_00001194
pigeon pea (dried),obo:FOODON_00001196
dried fava bean,obo:FOODON_00001198
broad bean (dried),obo:FOODON_00001198
cowpea (pulse),obo:FOODON_00001200
dry bean,obo:FOODON_00001201
vetch seed (dried),obo:FOODON_00001203
velvet bean (dried),obo:FOODON_00001205
lupin seed,obo:FOODON_00001206
jack bean (dried),obo:FOODON_00001207
pulse,obo:FOODON_00001209
cocoa and cocoa products,obo:FOODON_00001215
cacao,obo:FOODON_00001215
cream,obo:FOODON_00001216
mammalian milk beverage,obo:FOODON_00001217
bee,obo:FOODON_00001218
"sausage (cooked, smoked)",obo:FOODON_00001219
sausage (smoked),obo:FOODON_00001220
"sausage (raw, smoked)",obo:FOODON_00001221
sausage (raw),obo:FOODON_00001222
"meat sausage (dried, fermented)",obo:FOODON_00001223
meat sausage (cooked),obo:FOODON_00001224
rennet,obo:FOODON_00001228
processed cheese,obo:FOODON_00001229
creamy salad dressing,obo:FOODON_00001231
vinaigrette dressing,obo:FOODON_00001232
nut oil,obo:FOODON_00001233
fresh sea water fish,obo:FOODON_00001236
natural (animal-derived) rennet,obo:FOODON_00001237
microbial rennet,obo:FOODON_00001238
vegetable rennet,obo:FOODON_00001239
rennet (genetically engineered),obo:FOODON_00001240
processed pork meat,obo:FOODON_00001241
herb and spice,obo:FOODON_00001242
herb or spice,obo:FOODON_00001242
spice or herb,obo:FOODON_00001242
animal lipid,obo:FOODON_00001243
coffee beverage,obo:FOODON_00001244
tea beverage (liquid),obo:FOODON_00001245
mate,obo:FOODON_00001247
animal derived beverage,obo:FOODON_00001252
plant derived beverage,obo:FOODON_00001253
plant derived fermented beverage,obo:FOODON_00001254
nonfermented plant derived beverage product,obo:FOODON_00001255
dairy product,obo:FOODON_00001256
milk product,obo:FOODON_00001256
dairy,obo:FOODON_00001256
milk or milk based,obo:FOODON_00001257
food (fermented),obo:FOODON_00001258
non-fruit wine,obo:FOODON_00001259
beer beverage,obo:FOODON_00001260
botanical fruit,obo:FOODON_00001262
bu-du,obo:FOODON_00001263
legume,obo:FOODON_00001264
buffalo milk beverage,obo:FOODON_00001265
camel milk beverage,obo:FOODON_00001266
donkey milk beverage,obo:FOODON_00001267
horse milk beverage,obo:FOODON_00001268
reindeer milk beverage,obo:FOODON_00001269
water buffalo milk beverage,obo:FOODON_00001270
yak milk beverage,obo:FOODON_00001271
zebra milk beverage,obo:FOODON_00001272
egg,obo:FOODON_00001274
apple cider (alcoholic),obo:FOODON_00001276
orange juice (unpasteurized),obo:FOODON_00001277
cake icing,obo:FOODON_00001279
sweet custard,obo:FOODON_00001281
custard dessert,obo:FOODON_00001281
beef mince,obo:FOODON_00001282
ground beef,obo:FOODON_00001282
hamburger meat,obo:FOODON_00001282
minced beef,obo:FOODON_00001282
duck meat,obo:FOODON_00001284
goose meat,obo:FOODON_00001285
turkey meat,obo:FOODON_00001286
mushroom (whole organism),obo:FOODON_00001287
cantaloup,obo:FOODON_00001288
muskmelon,obo:FOODON_00001288
cantaloupe fruit,obo:FOODON_00001288
goat milk cheese (unpasteurized),obo:FOODON_00001294
pecorino cheese,obo:FOODON_00001295
sheep milk cheese (unpasteurized),obo:FOODON_00001296
unpasteurized cow milk cheese,obo:FOODON_00001297
unpasteurized camel milk beverage,obo:FOODON_00001298
caprine milk beverage (raw),obo:FOODON_00001299
unpasteurized milk beverage,obo:FOODON_00001300
lasagne,obo:FOODON_00001302
food fermentation,obo:FOODON_00001304
hoi-dong,obo:FOODON_00001305
Hom dong,obo:FOODON_00001306
ma kham dong,obo:FOODON_00001307
ma yom dong,obo:FOODON_00001308
Miang,obo:FOODON_00001309
mum,obo:FOODON_00001310
mum-khai-pla,obo:FOODON_00001311
